country	year	pop	continent	lifeExp	gdpPercap
Austria	1954	6940209	Europe	67.32	7045.971274
Austria	1955	6946885	Europe	67.6	7817.250888
Austria	1956	6952359	Europe	67.72	8348.449465
Austria	1957	6965860	Europe	67.48	8842.59803
Austria	1958	6987358	Europe	68.49	9137.296178
Austria	1959	7014331	Europe	68.42	9360.853847
Austria	1960	7047437	Europe	68.78	10083.83005
Austria	1961	7086299	Europe	69.75	10560.9654
Austria	1962	7129864	Europe	69.54	10750.72111
Austria	1963	7175811	Europe	69.67	11116.70439
Austria	1964	7223801	Europe	70.16	11705.63362
Austria	1965	7270889	Europe	69.95	11964.2821
Austria	1966	7322066	Europe	70.26	12549.33397
Austria	1967	7376998	Europe	70.14	12834.6024
Austria	1968	7415403	Europe	70.29	13335.55703
Austria	1969	7441055	Europe	70.06	14125.31596
Austria	1970	7467086	Europe	70.11	15078.76996
Austria	1971	7500482	Europe	70.31	15779.07374
Austria	1972	7544201	Europe	70.63	16661.6256
Austria	1973	7586115	Europe	71.21	17379.3273
Austria	1974	7599038	Europe	71.2	18033.975
Austria	1975	7578903	Europe	71.33	18016.36617
Austria	1976	7565525	Europe	71.82	18874.29543
Austria	1977	7568430	Europe	72.17	19749.4223
Austria	1978	7562305	Europe	72.25	19693.61751
Austria	1979	7549425	Europe	72.56	20803.39934
Austria	1980	7549433	Europe	72.7	21284.70833
Austria	1981	7564629	Europe	73.02	21220.8879
Austria	1982	7574613	Europe	73.18	21597.08362
Austria	1983	7552896	Europe	73.25	22266.66334
Austria	1984	7554132	Europe	73.79	22336.9462
Austria	1985	7559776	Europe	74.01	22821.20054
Austria	1986	7568242	Europe	74.49	23329.15536
Austria	1987	7578903	Europe	74.94	23687.82607
Austria	1988	7599791	Europe	75.41	24371.17769
Austria	1989	7627861	Europe	75.5	25307.87479
Austria	1990	7722953	Europe	75.77	26134.99521
Austria	1991	7818423	Europe	75.83	26744.39669
Austria	1992	7914969	Europe	76.04	27042.01868
Austria	1993	7988599	Europe	76.27	26882.04406
Austria	1994	8027540	Europe	76.6	27463.47863
Austria	1995	8047433	Europe	76.84	27918.81948
Austria	1996	8060852	Europe	77.1	28602.35254
Austria	1997	8069876	Europe	77.51	29095.92066
Austria	1998	8078622	Europe	77.88	30107.97838
Austria	1999	8094156	Europe	78.06	31039.61877
Austria	2000	8113413	Europe	78.35	32008.50466
Austria	2001	8131690	Europe	78.85	32196.42488
Austria	2002	8148312	Europe	78.98	32417.60769
Austria	2003	8162656	Europe	78.98	32741.18737
Austria	2004	8174762	Europe	79.49	33455.69403
Austria	2005	8184691	Europe	79.66	34108
Austria	2007	8199783	Europe	79.829	36126.4927
Azerbaijan	1992	7413618	Asia	65.623	3455.542969
Azerbaijan	1997	7695123	Asia	66.328	1943.285094
Azerbaijan	2002	7798497	Asia	66.844	3059.179927
Azerbaijan	2007	8017309	Asia	67.487	7708.61119
Bahamas	1962	122902	Americas	64.209	15117.51505
Bahamas	1967	151120	Americas	65.795	19318.1061
Bahamas	1972	178332	Americas	66.515	18152.43763
Bahamas	1977	197499	Americas	67.199	14380.66603
Bahamas	1982	219682	Americas	67.874	20433.0368
Bahamas	1987	244042	Americas	69.524	22438.01353
Bahamas	1992	264085	Americas	69.171	19432.56931
Bahamas	1997	281577	Americas	68.472	20990.83247
Bahamas	2002	295131	Americas	71.068	22810.96126
Bahamas	2007	305655	Americas	73.495	23948.63751
Bahrain	1952	120447	Asia	50.939	9867.084765
Bahrain	1957	138655	Asia	53.832	11635.79945
Bahrain	1962	171863	Asia	56.923	12753.27514
Bahrain	1967	202182	Asia	59.923	14804.6727
Bahrain	1972	230800	Asia	63.3	18268.65839
Bahrain	1977	297410	Asia	65.593	19340.10196
Bahrain	1982	377967	Asia	69.052	19211.14731
Bahrain	1987	454612	Asia	70.75	18524.02406
Bahrain	1992	529491	Asia	72.601	19035.57917
Bahrain	1997	598561	Asia	73.925	20292.01679
Bahrain	2002	656397	Asia	74.795	23403.55927
Bahrain	2007	708573	Asia	75.635	29796.04834
Bangladesh	1952	46886859	Asia	37.484	684.2441716
Bangladesh	1957	51365468	Asia	39.348	661.6374577
Bangladesh	1962	56839289	Asia	41.216	686.3415538
Bangladesh	1967	62821884	Asia	43.453	721.1860862
Bangladesh	1972	70759295	Asia	45.252	630.2336265
Bangladesh	1977	80428306	Asia	46.923	659.8772322
Bangladesh	1982	93074406	Asia	50.009	676.9818656
Bangladesh	1987	103764241	Asia	52.819	751.9794035
Bangladesh	1992	113704579	Asia	56.018	837.8101643
Bangladesh	1997	123315288	Asia	59.412	972.7700352
Bangladesh	2002	135656790	Asia	62.013	1136.39043
Bangladesh	2007	150448339	Asia	64.062	1391.253792
Barbados	1962	228747	Americas	65.87	6204.489468
Barbados	1967	238224	Americas	67.62	7788.544085
Barbados	1972	242445	Americas	69.42	9853.806374
Barbados	1977	249169	Americas	71.27	11817.35591
Barbados	1982	253522	Americas	72.695	12736.47247
Barbados	1987	259428	Americas	74.027	13783.20898
Barbados	1992	264925	Americas	74.894	12263.45331
Barbados	1997	270096	Americas	74.912	13901.90893
Barbados	2002	275673	Americas	75.97	14544.49305
Barbados	2007	280946	Americas	77.296	17023.10239
Belarus	1973	9236465	FSU	72.71	4958.608124
Belarus	1990	10215208	FSU	71.15	6807.781057
Belarus	1991	10244639	FSU	70.58	6693.1884
Belarus	1992	10306362	FSU	70.17	6014.406075
Belarus	1993	10360516	FSU	69.05	5528.263371
Belarus	1994	10387841	FSU	68.82	4868.615987
Belarus	1995	10403989	FSU	68.43	4355.509243
Belarus	1996	10408773	FSU	68.56	4475.405604
Belarus	1997	10404210	FSU	68.37	4987.788391
Belarus	1998	10394407	FSU	68.38	5411.861751
Belarus	1999	10382370	FSU	67.97	5602.352725
Belarus	2000	10366719	FSU	69	5936.237819
Belarus	2001	10350194	FSU	68.6	6225.164179
Belarus	2002	10335382	FSU	68.16	6545.789965
Belarus	2003	10322151	FSU	68.7	6999.864668
Belarus	2004	10310520	FSU	69.1	7806.724446
Belarus	2005	10300483	FSU	68.87	8541
Belarus	2007	10289007	FSU	69.027	10273.77418
Belgium	1950	8639369	Europe	66.35	7990.46584
Belgium	1951	8678386	Europe	66.8	8393.415992
Belgium	1952	8730405	Europe	68	8343.105127
Belgium	1953	8777873	Europe	68.37	8645.372292
Belgium	1954	8819380	Europe	68.63	8950.306725
Belgium	1955	8868475	Europe	68.58	9244.72546
Belgium	1956	8923845	Europe	68.87	9529.403593
Belgium	1957	8989111	Europe	69.24	9714.960623
Belgium	1958	9052707	Europe	69.93	9477.273558
Belgium	1959	9103729	Europe	70.33	9675.467689
Belgium	1960	9118700	Europe	69.65	10076.60249
Belgium	1961	9165800	Europe	70.52	10512.5111
Belgium	1962	9218400	Europe	70.25	10991.20676
Belgium	1963	9283100	Europe	70.06	11396.12839
Belgium	1964	9367000	Europe	70.73	12089.40942
Belgium	1965	9448100	Europe	70.58	12406.28806
Belgium	1966	9507800	Europe	70.65	12720.17707
Belgium	1967	9556500	Europe	70.94	13149.04119
Belgium	1968	9589800	Europe	70.63	13647.19609
Belgium	1969	9612700	Europe	70.71	14520.74226
Belgium	1970	9637800	Europe	70.97	15379.70523
Belgium	1971	9672500	Europe	71.1	15899.65951
Belgium	1972	9709100	Europe	71.44	16672.14356
Belgium	1973	9738400	Europe	71.65	17639.58142
Belgium	1974	9767800	Europe	72.01	18325.1694
Belgium	1975	9794800	Europe	72	18032.1155
Belgium	1976	9811000	Europe	72.15	19019.94462
Belgium	1977	9821800	Europe	72.8	19117.97448
Belgium	1978	9829700	Europe	72.75	19645.53784
Belgium	1979	9837200	Europe	73.24	20090.12043
Belgium	1980	9846800	Europe	73.29	20969.62311
Belgium	1981	9852400	Europe	73.7	20696.13378
Belgium	1982	9856303	Europe	73.93	20979.84589
Belgium	1983	9855520	Europe	73.93	20979.01253
Belgium	1984	9855300	Europe	74.43	21498.93801
Belgium	1985	9858200	Europe	74.54	21708.74541
Belgium	1986	9861800	Europe	74.74	22024.75308
Belgium	1987	9870200	Europe	75.35	22525.56308
Belgium	1988	9884000	Europe	75.66	23555.8201
Belgium	1989	9937697	Europe	75.73	24269.23182
Belgium	1990	9969310	Europe	76.14	24925.91
Belgium	1991	10004487	Europe	76.3	25293.57135
Belgium	1992	10045622	Europe	76.46	25575.57069
Belgium	1993	10085426	Europe	76.48	25229.59834
Belgium	1994	10122914	Europe	76.82	25947.30294
Belgium	1995	10155459	Europe	76.97	26480.94732
Belgium	1996	10178934	Europe	77.31	26725.49837
Belgium	1997	10199787	Europe	77.53	27561.19663
Belgium	1998	10217030	Europe	77.62	28030.61314
Belgium	1999	10235655	Europe	77.8	28937.1514
Belgium	2000	10263618	Europe	77.91	29940.2047
Belgium	2001	10291679	Europe	78.22	30092.07613
Belgium	2002	10311970	Europe	78.32	30485.88375
Belgium	2003	10330824	Europe	78.47	30736.5256
Belgium	2004	10348276	Europe	79.11	31600.01699
Belgium	2005	10364388	Europe	79.2	32077
Belgium	2007	10392226	Europe	79.441	33692.60508
Belize	1950	65797	Americas	57.673	1731.132728
Belize	1962	97594	Americas	62.678	1916.319613
Belize	1967	113265	Americas	65.184	2099.158522
Belize	1972	127661	Americas	67.589	2616.696579
Belize	1977	140578	Americas	69.747	3158.688003
Belize	1982	153277	Americas	71.031	3732.094919
Belize	1987	176347	Americas	71.879	3844.931896
Belize	1992	200798	Americas	72.522	5780.689094
Belize	1997	228884	Americas	74.405	5631.50107
Belize	2002	261138	Americas	75.586	6799.541995
Belize	2007	294385	Americas	76.121	7550.225543
Benin	1952	1738315	Africa	38.223	1062.7522
Benin	1957	1925173	Africa	40.358	959.6010805
Benin	1962	2151895	Africa	42.618	949.4990641
Benin	1967	2427334	Africa	44.885	1035.831411
Benin	1972	2761407	Africa	47.014	1085.796879
Benin	1977	3168267	Africa	49.19	1029.161251
Benin	1982	3641603	Africa	50.904	1277.897616
Benin	1987	4243788	Africa	52.337	1225.85601
Benin	1992	4981671	Africa	53.919	1191.207681
Benin	1997	6066080	Africa	54.777	1232.975292
Benin	2002	7026113	Africa	54.406	1372.877931
Benin	2007	8078314	Africa	56.728	1441.284873
Bhutan	1972	1087991	Asia	41.837	807.6225858
Bhutan	1977	1205659	Asia	44.708	816.3101525
Bhutan	1982	1333704	Asia	47.872	946.8129965
Bhutan	1987	1490857	Asia	50.717	1494.290085
Bhutan	1992	1673428	Asia	54.471	1904.17945
Bhutan	1997	1876236	Asia	58.929	2561.507659
Bhutan	2002	2094176	Asia	63.458	3256.019293
Bhutan	2007	2327849	Asia	65.625	4744.640019
Bolivia	1952	2883315	Americas	40.414	2677.326347
Bolivia	1957	3211738	Americas	41.89	2127.686326
Bolivia	1962	3593918	Americas	43.428	2180.972546
Bolivia	1967	4040665	Americas	45.032	2586.886053
Bolivia	1972	4565872	Americas	46.714	2980.331339
Bolivia	1977	5079716	Americas	50.023	3548.097832
Bolivia	1982	5642224	Americas	53.859	3156.510452
Bolivia	1987	6156369	Americas	57.251	2753.69149
Bolivia	1992	6893451	Americas	59.957	2961.699694
Bolivia	1997	7693188	Americas	62.05	3326.143191
Bolivia	2002	8445134	Americas	63.883	3413.26269
Bolivia	2007	9119152	Americas	65.554	3822.137084
Bosnia and Herzegovina	1952	2791000	Europe	53.82	973.5331948
Bosnia and Herzegovina	1957	3076000	Europe	58.45	1353.989176
Bosnia and Herzegovina	1962	3349000	Europe	61.93	1709.683679
Bosnia and Herzegovina	1967	3585000	Europe	64.79	2172.352423
Bosnia and Herzegovina	1972	3819000	Europe	67.45	2860.16975
Bosnia and Herzegovina	1977	4086000	Europe	69.86	3528.481305
Bosnia and Herzegovina	1982	4172693	Europe	70.69	4126.613157
Bosnia and Herzegovina	1987	4338977	Europe	71.14	4314.114757
Bosnia and Herzegovina	1992	4256013	Europe	72.178	2546.781445
Bosnia and Herzegovina	1997	3607000	Europe	73.244	4766.355904
Bosnia and Herzegovina	2002	4165416	Europe	74.09	6018.975239
Bosnia and Herzegovina	2007	4552198	Europe	74.852	7446.298803
Botswana	1952	442308	Africa	47.622	851.2411407
Botswana	1957	474639	Africa	49.618	918.2325349
Botswana	1962	512764	Africa	51.52	983.6539764
Botswana	1967	553541	Africa	53.298	1214.709294
Botswana	1972	619351	Africa	56.024	2263.611114
Botswana	1977	781472	Africa	59.319	3214.857818
Botswana	1982	970347	Africa	61.484	4551.14215
Botswana	1987	1151184	Africa	63.622	6205.88385
Botswana	1992	1342614	Africa	62.745	7954.111645
Botswana	1997	1536536	Africa	52.556	8647.142313
Botswana	2002	1630347	Africa	46.634	11003.60508
Botswana	2007	1639131	Africa	50.728	12569.85177
Brazil	1952	56602560	Americas	50.917	2108.944355
Brazil	1957	65551171	Americas	53.285	2487.365989
Brazil	1962	76039390	Americas	55.665	3336.585802
Brazil	1967	88049823	Americas	57.632	3429.864357
Brazil	1972	100840058	Americas	59.504	4985.711467
Brazil	1977	114313951	Americas	61.489	6660.118654
Brazil	1982	128962939	Americas	63.336	7030.835878
Brazil	1987	142938076	Americas	65.205	7807.095818
Brazil	1992	155975974	Americas	67.057	6950.283021
Brazil	1997	168546719	Americas	69.388	7957.980824
Brazil	2002	179914212	Americas	71.006	8131.212843
Brazil	2007	190010647	Americas	72.39	9065.800825
Brunei	1972	141500	Asia	68.34	54117.15906
Brunei	1977	167216	Asia	69.66	72555.22854
Brunei	1982	199468	Asia	71.62	62407.21057
Brunei	1987	235357	Asia	73.2	53585.90355
Brunei	1992	273701	Asia	74.471	49174.40543
Brunei	1997	313563	Asia	75.465	48967.3126
Brunei	2002	350898	Asia	76.315	48906.34894
Brunei	2007	386511	Asia	77.118	48014.58767
Bulgaria	1950	7250500	Europe	61.39	2131.563149
Bulgaria	1951	7258200	Europe	60.63	2567.424534
Bulgaria	1952	7274900	Europe	59.6	2444.286648
Bulgaria	1953	7346100	Europe	64.14	2691.935068
Bulgaria	1954	7423300	Europe	64.4	2613.983108
Bulgaria	1955	7499400	Europe	64.81	2772.894304
Bulgaria	1956	7575800	Europe	65.21	2747.377929
Bulgaria	1957	7651254	Europe	66.61	3008.670727
Bulgaria	1958	7727553	Europe	68.71	3238.108918
Bulgaria	1959	7797777	Europe	66.57	3464.569652
Bulgaria	1960	7867374	Europe	69.18	3759.16551
Bulgaria	1961	7943118	Europe	70.22	3966.093248
Bulgaria	1962	8012946	Europe	69.51	4254.337839
Bulgaria	1963	8078145	Europe	70.34	4412.810322
Bulgaria	1964	8144339	Europe	71.14	4721.863908
Bulgaria	1965	8201400	Europe	71.3	4970.48803
Bulgaria	1966	8258057	Europe	71.23	5325.953431
Bulgaria	1967	8310226	Europe	70.42	5577.0028
Bulgaria	1968	8369603	Europe	71.25	5639.346751
Bulgaria	1969	8434172	Europe	70.43	5868.78268
Bulgaria	1970	8489574	Europe	71.27	6162.468503
Bulgaria	1971	8536395	Europe	70.87	6328.504247
Bulgaria	1972	8576200	Europe	70.9	6597.494398
Bulgaria	1973	8620997	Europe	71.34	6822.385269
Bulgaria	1974	8678745	Europe	71.2	6989.571515
Bulgaria	1975	8720742	Europe	71.05	7527.863173
Bulgaria	1976	8755037	Europe	71.38	7722.871137
Bulgaria	1977	8797022	Europe	70.81	7612.240438
Bulgaria	1978	8803281	Europe	71.17	7771.118048
Bulgaria	1979	8811589	Europe	71.27	8062.600739
Bulgaria	1980	8843528	Europe	71.1	7802.845798
Bulgaria	1981	8869441	Europe	71.49	7987.015204
Bulgaria	1982	8892098	Europe	71.08	8224.191647
Bulgaria	1983	8910284	Europe	71.25	8052.372566
Bulgaria	1984	8928271	Europe	71.35	8301.979654
Bulgaria	1985	8943573	Europe	71.07	8037.950013
Bulgaria	1986	8958770	Europe	71.55	8236.461605
Bulgaria	1987	8971958	Europe	71.34	8239.854824
Bulgaria	1988	8982025	Europe	71.4	8179.010541
Bulgaria	1989	8990055	Europe	71.46	8025.266041
Bulgaria	1990	8894028	Europe	71.31	7225.877958
Bulgaria	1991	8772368	Europe	71.18	6710.698795
Bulgaria	1992	8658506	Europe	71.19	6302.623438
Bulgaria	1993	8441872	Europe	71.18	6367.39497
Bulgaria	1994	8353335	Europe	70.85	6550.710885
Bulgaria	1995	8255811	Europe	70.95	6820.307624
Bulgaria	1996	8161026	Europe	70.85	6250.966075
Bulgaria	1997	8066057	Europe	70.32	5970.38876
Bulgaria	1998	7971774	Europe	70.91	6282.641215
Bulgaria	1999	7893227	Europe	71.57	6491.099672
Bulgaria	2000	7818495	Europe	71.59	6907.013722
Bulgaria	2001	7738416	Europe	71.9	7264.607226
Bulgaria	2002	7661799	Europe	72.14	7696.777725
Bulgaria	2003	7588399	Europe	72.35	8105.388755
Bulgaria	2004	7517973	Europe	72.54	8721.228028
Bulgaria	2005	7450349	Europe	72.52	9353
Bulgaria	2007	7322858	Europe	73.005	10680.79282
Burkina Faso	1952	4469979	Africa	31.975	543.2552413
Burkina Faso	1957	4713416	Africa	34.906	617.1834648
Burkina Faso	1962	4919632	Africa	37.814	722.5120206
Burkina Faso	1967	5127935	Africa	40.697	794.8265597
Burkina Faso	1972	5433886	Africa	43.591	854.7359763
Burkina Faso	1977	5889574	Africa	46.137	743.3870368
Burkina Faso	1982	6634596	Africa	48.122	807.1985855
Burkina Faso	1987	7586551	Africa	49.557	912.0631417
Burkina Faso	1992	8878303	Africa	50.26	931.7527731
Burkina Faso	1997	10352843	Africa	50.324	946.2949618
Burkina Faso	2002	12251209	Africa	50.65	1037.645221
Burkina Faso	2007	14326203	Africa	52.295	1217.032994
Burundi	1952	2445618	Africa	39.031	339.2964587
Burundi	1957	2667518	Africa	40.533	379.5646281
Burundi	1962	2961915	Africa	42.045	355.2032273
Burundi	1967	3330989	Africa	43.548	412.9775136
Burundi	1972	3529983	Africa	44.057	464.0995039
Burundi	1977	3834415	Africa	45.91	556.1032651
Burundi	1982	4580410	Africa	47.471	559.603231
Burundi	1987	5126023	Africa	48.211	621.8188189
Burundi	1992	5809236	Africa	44.736	631.6998778
Burundi	1997	6121610	Africa	45.326	463.1151478
Burundi	2002	7021078	Africa	47.36	446.4035126
Burundi	2007	8390505	Africa	49.58	430.0706916
Cambodia	1952	4693836	Asia	39.417	368.4692856
Cambodia	1957	5322536	Asia	41.366	434.0383364
Cambodia	1962	6083619	Asia	43.415	496.9136476
Cambodia	1967	6960067	Asia	45.415	523.4323142
Cambodia	1972	7450606	Asia	40.317	421.6240257
Cambodia	1977	6978607	Asia	31.22	524.9721832
Cambodia	1982	7272485	Asia	50.957	624.4754784
Cambodia	1987	8371791	Asia	53.914	683.8955732
Cambodia	1992	10150094	Asia	55.803	682.3031755
Cambodia	1997	11782962	Asia	56.534	734.28517
Cambodia	2002	12926707	Asia	56.752	896.2260153
Cambodia	2007	14131858	Asia	59.723	1713.778686
Cameroon	1952	5009067	Africa	38.523	1172.667655
Cameroon	1957	5359923	Africa	40.428	1313.048099
Cameroon	1962	5793633	Africa	42.643	1399.607441
Cameroon	1967	6335506	Africa	44.799	1508.453148
Cameroon	1972	7021028	Africa	47.049	1684.146528
Cameroon	1977	7959865	Africa	49.355	1783.432873
Cameroon	1982	9250831	Africa	52.961	2367.983282
Cameroon	1987	10780667	Africa	54.985	2602.664206
Cameroon	1992	12467171	Africa	54.314	1793.163278
Cameroon	1997	14195809	Africa	52.199	1694.337469
Cameroon	2002	15929988	Africa	49.856	1934.011449
Cameroon	2007	17696293	Africa	50.43	2042.09524
Canada	1950	14011422	Americas	68.28	10581.26552
Canada	1951	14330675	Americas	68.55	10932.46678
Canada	1952	14785584	Americas	68.75	11367.16112
Canada	1953	15183375	Americas	69.13	11586.61455
Canada	1954	15636245	Americas	69.99	11173.2595
Canada	1955	16050356	Americas	70.05	11901.50949
Canada	1956	16445087	Americas	70.04	12555.54947
Canada	1957	17010154	Americas	69.96	12489.95006
Canada	1958	17462004	Americas	70.62	12384.41018
Canada	1959	17872034	Americas	70.66	12590.80033
Canada	1960	18266765	Americas	71.04	12701.48312
Canada	1961	18634977	Americas	71.27	12817.92217
Canada	1962	18985849	Americas	71.3	13462.48555
Canada	1963	19342841	Americas	71.31	13882.56266
Canada	1964	19711053	Americas	71.69	14510.89933
Canada	1965	20071104	Americas	71.79	15198.11009
Canada	1966	20448496	Americas	71.92	15884.83624
Canada	1967	20819767	Americas	72.13	16076.58803
Canada	1968	21143100	Americas	72.29	16658.21328
Canada	1969	21448073	Americas	72.45	17286.99329
Canada	1970	21749986	Americas	72.65	17487.45713
Canada	1971	22026400	Americas	72.98	18229.64274
Canada	1972	22284500	Americas	72.88	18970.57086
Canada	1973	22559500	Americas	73.11	20081.30717
Canada	1974	22874700	Americas	73.19	20613.59162
Canada	1975	23209200	Americas	73.49	20775.50508
Canada	1976	23517500	Americas	73.92	21626.08551
Canada	1977	23796400	Americas	74.21	22090.88306
Canada	1978	24036300	Americas	74.54	22754.82739
Canada	1979	24276900	Americas	74.9	23465.82672
Canada	1980	24593300	Americas	75.14	23473.89691
