continent	country	year	lifeExp
Europe	Austria	2007	79.829
Asia	Azerbaijan	1952	57.961
Asia	Azerbaijan	1957	60.008
Asia	Azerbaijan	1962	62.068
Asia	Azerbaijan	1967	64.111
Asia	Azerbaijan	1972	65.627
Asia	Azerbaijan	1977	65.152
Asia	Azerbaijan	1982	65
Asia	Azerbaijan	1987	66.089
Asia	Azerbaijan	1992	65.623
Asia	Azerbaijan	1997	66.328
Asia	Azerbaijan	2002	66.844
Asia	Azerbaijan	2007	67.487
	Bahamas, The	1952	59.846
	Bahamas, The	1957	62.405
	Bahamas, The	1962	64.209
	Bahamas, The	1967	65.795
	Bahamas, The	1972	66.515
	Bahamas, The	1977	67.199
	Bahamas, The	1982	67.874
	Bahamas, The	1987	69.524
	Bahamas, The	1992	69.171
	Bahamas, The	1997	68.472
	Bahamas, The	2002	71.068
	Bahamas, The	2007	73.495
Asia	Bahrain	1952	50.939
Asia	Bahrain	1957	53.832
Asia	Bahrain	1962	56.923
Asia	Bahrain	1967	59.923
Asia	Bahrain	1972	63.3
Asia	Bahrain	1977	65.593
Asia	Bahrain	1982	69.052
Asia	Bahrain	1987	70.75
Asia	Bahrain	1992	72.601
Asia	Bahrain	1997	73.925
Asia	Bahrain	2002	74.795
Asia	Bahrain	2007	75.635
Asia	Bangladesh	1952	37.484
Asia	Bangladesh	1957	39.348
Asia	Bangladesh	1962	41.216
Asia	Bangladesh	1967	43.453
Asia	Bangladesh	1972	45.252
Asia	Bangladesh	1977	46.923
Asia	Bangladesh	1982	50.009
Asia	Bangladesh	1987	52.819
Asia	Bangladesh	1992	56.018
Asia	Bangladesh	1997	59.412
Asia	Bangladesh	2002	62.013
Asia	Bangladesh	2007	64.062
	Barbados	1952	57.22
	Barbados	1957	62.57
	Barbados	1962	65.87
	Barbados	1967	67.62
	Barbados	1972	69.42
	Barbados	1977	71.27
	Barbados	1982	72.695
	Barbados	1987	74.027
	Barbados	1992	74.894
	Barbados	1997	74.912
	Barbados	2002	75.97
	Barbados	2007	77.296
FSU	Belarus	1952	65.9
FSU	Belarus	1957	67.9
FSU	Belarus	1959	69.06
FSU	Belarus	1960	71.85
FSU	Belarus	1961	72.57
FSU	Belarus	1962	71.29
FSU	Belarus	1963	71.95
FSU	Belarus	1964	73.48
FSU	Belarus	1965	73.02
FSU	Belarus	1966	73.38
FSU	Belarus	1967	73.13
FSU	Belarus	1968	73.24
FSU	Belarus	1969	72.84
FSU	Belarus	1970	72.32
FSU	Belarus	1971	72.96
FSU	Belarus	1972	72.67
FSU	Belarus	1973	72.71
FSU	Belarus	1974	73.01
FSU	Belarus	1975	72.08
FSU	Belarus	1976	71.92
FSU	Belarus	1977	71.86
FSU	Belarus	1978	71.72
FSU	Belarus	1979	71.32
FSU	Belarus	1980	71.08
FSU	Belarus	1981	71.36
FSU	Belarus	1982	71.49
FSU	Belarus	1983	71.28
FSU	Belarus	1984	70.65
FSU	Belarus	1985	70.86
FSU	Belarus	1986	72.25
FSU	Belarus	1987	72.15
FSU	Belarus	1988	71.89
FSU	Belarus	1989	71.68
FSU	Belarus	1990	71.15
FSU	Belarus	1991	70.58
FSU	Belarus	1992	70.17
FSU	Belarus	1993	69.05
FSU	Belarus	1994	68.82
FSU	Belarus	1995	68.43
FSU	Belarus	1996	68.56
FSU	Belarus	1997	68.37
FSU	Belarus	1998	68.38
FSU	Belarus	1999	67.97
FSU	Belarus	2000	69
FSU	Belarus	2001	68.6
FSU	Belarus	2002	68.16
FSU	Belarus	2003	68.7
FSU	Belarus	2004	69.1
FSU	Belarus	2005	68.87
FSU	Belarus	2007	69.027
Europe	Belgium	1950	66.35
Europe	Belgium	1951	66.8
Europe	Belgium	1952	68
Europe	Belgium	1953	68.37
Europe	Belgium	1954	68.63
Europe	Belgium	1955	68.58
Europe	Belgium	1956	68.87
Europe	Belgium	1957	69.24
Europe	Belgium	1958	69.93
Europe	Belgium	1959	70.33
Europe	Belgium	1960	69.65
Europe	Belgium	1961	70.52
Europe	Belgium	1962	70.25
Europe	Belgium	1963	70.06
Europe	Belgium	1964	70.73
Europe	Belgium	1965	70.58
Europe	Belgium	1966	70.65
Europe	Belgium	1967	70.94
Europe	Belgium	1968	70.63
Europe	Belgium	1969	70.71
Europe	Belgium	1970	70.97
Europe	Belgium	1971	71.1
Europe	Belgium	1972	71.44
Europe	Belgium	1973	71.65
Europe	Belgium	1974	72.01
Europe	Belgium	1975	72
Europe	Belgium	1976	72.15
Europe	Belgium	1977	72.8
Europe	Belgium	1978	72.75
Europe	Belgium	1979	73.24
Europe	Belgium	1980	73.29
Europe	Belgium	1981	73.7
Europe	Belgium	1982	73.93
Europe	Belgium	1983	73.93
Europe	Belgium	1984	74.43
Europe	Belgium	1985	74.54
Europe	Belgium	1986	74.74
Europe	Belgium	1987	75.35
Europe	Belgium	1988	75.66
Europe	Belgium	1989	75.73
Europe	Belgium	1990	76.14
Europe	Belgium	1991	76.3
Europe	Belgium	1992	76.46
Europe	Belgium	1993	76.48
Europe	Belgium	1994	76.82
Europe	Belgium	1995	76.97
Europe	Belgium	1996	77.31
Europe	Belgium	1997	77.53
Europe	Belgium	1998	77.62
Europe	Belgium	1999	77.8
Europe	Belgium	2000	77.91
Europe	Belgium	2001	78.22
Europe	Belgium	2002	78.32
Europe	Belgium	2003	78.47
Europe	Belgium	2004	79.11
Europe	Belgium	2005	79.2
Europe	Belgium	2007	79.441
	Belize	1950	57.673
	Belize	1952	57.673
	Belize	1957	60.18
	Belize	1962	62.678
	Belize	1967	65.184
	Belize	1972	67.589
	Belize	1977	69.747
	Belize	1982	71.031
	Belize	1987	71.879
	Belize	1992	72.522
	Belize	1997	74.405
	Belize	2002	75.586
	Belize	2007	76.121
Africa	Benin	1952	38.223
Africa	Benin	1957	40.358
Africa	Benin	1962	42.618
Africa	Benin	1967	44.885
Africa	Benin	1972	47.014
Africa	Benin	1977	49.19
Africa	Benin	1982	50.904
Africa	Benin	1987	52.337
Africa	Benin	1992	53.919
Africa	Benin	1997	54.777
Africa	Benin	2002	54.406
Africa	Benin	2007	56.728
Asia	Bhutan	1952	36.101
Asia	Bhutan	1957	36.614
Asia	Bhutan	1962	37.736
Asia	Bhutan	1967	39.491
Asia	Bhutan	1972	41.837
Asia	Bhutan	1977	44.708
Asia	Bhutan	1982	47.872
Asia	Bhutan	1987	50.717
Asia	Bhutan	1992	54.471
Asia	Bhutan	1997	58.929
Asia	Bhutan	2002	63.458
Asia	Bhutan	2007	65.625
Americas	Bolivia	1952	40.414
Americas	Bolivia	1957	41.89
Americas	Bolivia	1962	43.428
Americas	Bolivia	1967	45.032
Americas	Bolivia	1972	46.714
Americas	Bolivia	1977	50.023
Americas	Bolivia	1982	53.859
Americas	Bolivia	1987	57.251
Americas	Bolivia	1992	59.957
Americas	Bolivia	1997	62.05
Americas	Bolivia	2002	63.883
Americas	Bolivia	2007	65.554
Europe	Bosnia and Herzegovina	1952	53.82
Europe	Bosnia and Herzegovina	1957	58.45
Europe	Bosnia and Herzegovina	1962	61.93
Europe	Bosnia and Herzegovina	1967	64.79
Europe	Bosnia and Herzegovina	1972	67.45
Europe	Bosnia and Herzegovina	1977	69.86
Europe	Bosnia and Herzegovina	1982	70.69
Europe	Bosnia and Herzegovina	1987	71.14
Europe	Bosnia and Herzegovina	1992	72.178
Europe	Bosnia and Herzegovina	1997	73.244
Europe	Bosnia and Herzegovina	2002	74.09
Europe	Bosnia and Herzegovina	2007	74.852
Africa	Botswana	1952	47.622
Africa	Botswana	1957	49.618
Africa	Botswana	1962	51.52
Africa	Botswana	1967	53.298
Africa	Botswana	1972	56.024
Africa	Botswana	1977	59.319
Africa	Botswana	1982	61.484
Africa	Botswana	1987	63.622
Africa	Botswana	1992	62.745
Africa	Botswana	1997	52.556
Africa	Botswana	2002	46.634
Africa	Botswana	2007	50.728
Americas	Brazil	1952	50.917
Americas	Brazil	1957	53.285
Americas	Brazil	1962	55.665
Americas	Brazil	1967	57.632
Americas	Brazil	1972	59.504
Americas	Brazil	1977	61.489
Americas	Brazil	1982	63.336
Americas	Brazil	1987	65.205
Americas	Brazil	1992	67.057
Americas	Brazil	1997	69.388
Americas	Brazil	2002	71.006
Americas	Brazil	2007	72.39
Asia	Brunei	1952	60.36
Asia	Brunei	1957	61.49
Asia	Brunei	1962	62.97
Asia	Brunei	1967	64.94
Asia	Brunei	1972	68.34
Asia	Brunei	1977	69.66
Asia	Brunei	1982	71.62
Asia	Brunei	1987	73.2
Asia	Brunei	1992	74.471
Asia	Brunei	1997	75.465
Asia	Brunei	2002	76.315
Asia	Brunei	2007	77.118
Europe	Bulgaria	1950	61.39
Europe	Bulgaria	1951	60.63
Europe	Bulgaria	1952	59.6
Europe	Bulgaria	1953	64.14
Europe	Bulgaria	1954	64.4
Europe	Bulgaria	1955	64.81
Europe	Bulgaria	1956	65.21
Europe	Bulgaria	1957	66.61
Europe	Bulgaria	1958	68.71
Europe	Bulgaria	1959	66.57
Europe	Bulgaria	1960	69.18
Europe	Bulgaria	1961	70.22
Europe	Bulgaria	1962	69.51
Europe	Bulgaria	1963	70.34
Europe	Bulgaria	1964	71.14
Europe	Bulgaria	1965	71.3
Europe	Bulgaria	1966	71.23
Europe	Bulgaria	1967	70.42
Europe	Bulgaria	1968	71.25
Europe	Bulgaria	1969	70.43
Europe	Bulgaria	1970	71.27
Europe	Bulgaria	1971	70.87
Europe	Bulgaria	1972	70.9
Europe	Bulgaria	1973	71.34
Europe	Bulgaria	1974	71.2
Europe	Bulgaria	1975	71.05
Europe	Bulgaria	1976	71.38
Europe	Bulgaria	1977	70.81
Europe	Bulgaria	1978	71.17
Europe	Bulgaria	1979	71.27
Europe	Bulgaria	1980	71.1
Europe	Bulgaria	1981	71.49
Europe	Bulgaria	1982	71.08
Europe	Bulgaria	1983	71.25
Europe	Bulgaria	1984	71.35
Europe	Bulgaria	1985	71.07
Europe	Bulgaria	1986	71.55
Europe	Bulgaria	1987	71.34
Europe	Bulgaria	1988	71.4
Europe	Bulgaria	1989	71.46
Europe	Bulgaria	1990	71.31
Europe	Bulgaria	1991	71.18
Europe	Bulgaria	1992	71.19
Europe	Bulgaria	1993	71.18
Europe	Bulgaria	1994	70.85
Europe	Bulgaria	1995	70.95
Europe	Bulgaria	1996	70.85
Europe	Bulgaria	1997	70.32
Europe	Bulgaria	1998	70.91
Europe	Bulgaria	1999	71.57
Europe	Bulgaria	2000	71.59
Europe	Bulgaria	2001	71.9
Europe	Bulgaria	2002	72.14
Europe	Bulgaria	2003	72.35
Europe	Bulgaria	2004	72.54
Europe	Bulgaria	2005	72.52
Europe	Bulgaria	2007	73.005
Africa	Burkina Faso	1952	31.975
Africa	Burkina Faso	1957	34.906
Africa	Burkina Faso	1962	37.814
Africa	Burkina Faso	1967	40.697
Africa	Burkina Faso	1972	43.591
Africa	Burkina Faso	1977	46.137
Africa	Burkina Faso	1982	48.122
Africa	Burkina Faso	1987	49.557
Africa	Burkina Faso	1992	50.26
Africa	Burkina Faso	1997	50.324
Africa	Burkina Faso	2002	50.65
Africa	Burkina Faso	2007	52.295
Africa	Burundi	1952	39.031
Africa	Burundi	1957	40.533
Africa	Burundi	1962	42.045
Africa	Burundi	1967	43.548
Africa	Burundi	1972	44.057
Africa	Burundi	1977	45.91
Africa	Burundi	1982	47.471
Africa	Burundi	1987	48.211
Africa	Burundi	1992	44.736
Africa	Burundi	1997	45.326
Africa	Burundi	2002	47.36
Africa	Burundi	2007	49.58
Asia	Cambodia	1952	39.417
Asia	Cambodia	1957	41.366
Asia	Cambodia	1962	43.415
Asia	Cambodia	1967	45.415
Asia	Cambodia	1972	40.317
Asia	Cambodia	1977	31.22
Asia	Cambodia	1982	50.957
Asia	Cambodia	1987	53.914
Asia	Cambodia	1992	55.803
Asia	Cambodia	1997	56.534
Asia	Cambodia	2002	56.752
Asia	Cambodia	2007	59.723
Africa	Cameroon	1952	38.523
Africa	Cameroon	1957	40.428
Africa	Cameroon	1962	42.643
Africa	Cameroon	1967	44.799
Africa	Cameroon	1972	47.049
Africa	Cameroon	1977	49.355
Africa	Cameroon	1982	52.961
Africa	Cameroon	1987	54.985
Africa	Cameroon	1992	54.314
Africa	Cameroon	1997	52.199
Africa	Cameroon	2002	49.856
Africa	Cameroon	2007	50.43
	Canada	1950	68.28
	Canada	1951	68.55
	Canada	1952	68.75
	Canada	1953	69.13
	Canada	1954	69.99
	Canada	1955	70.05
	Canada	1956	70.04
	Canada	1957	69.96
	Canada	1958	70.62
	Canada	1959	70.66
	Canada	1960	71.04
	Canada	1961	71.27
	Canada	1962	71.3
	Canada	1963	71.31
	Canada	1964	71.69
	Canada	1965	71.79
	Canada	1966	71.92
	Canada	1967	72.13
	Canada	1968	72.29
	Canada	1969	72.45
	Canada	1970	72.65
	Canada	1971	72.98
	Canada	1972	72.88
	Canada	1973	73.11
	Canada	1974	73.19
	Canada	1975	73.49
	Canada	1976	73.92
	Canada	1977	74.21
	Canada	1978	74.54
	Canada	1979	74.9
	Canada	1980	75.14
	Canada	1981	75.55
	Canada	1982	75.76
	Canada	1983	76.13
	Canada	1984	76.43
	Canada	1985	76.41
	Canada	1986	76.56
	Canada	1987	76.86
	Canada	1988	76.94
	Canada	1989	77.2
	Canada	1990	77.51
	Canada	1991	77.69
	Canada	1992	77.95
	Canada	1993	77.83
	Canada	1994	78.02
	Canada	1995	78.14
	Canada	1996	78.4
	Canada	1997	78.61
	Canada	1998	78.83
	Canada	1999	79.06
	Canada	2000	79.42
	Canada	2001	79.65
	Canada	2002	79.77
	Canada	2003	79.95
	Canada	2004	80.25
	Canada	2005	80.36
	Canada	2007	80.653
Africa	Cape Verde	1952	48.48
Africa	Cape Verde	1957	50.98
Africa	Cape Verde	1962	52.98
Africa	Cape Verde	1967	55.48
Africa	Cape Verde	1972	57.48
Africa	Cape Verde	1977	59.98
Africa	Cape Verde	1982	61.766
Africa	Cape Verde	1987	64.078
Africa	Cape Verde	1992	66.422
Africa	Cape Verde	1997	68.646
Africa	Cape Verde	2002	70.203
Africa	Cape Verde	2007	71.677
Africa	Central African Republic	1952	35.463
Africa	Central African Republic	1957	37.464
Africa	Central African Republic	1962	39.475
Africa	Central African Republic	1967	41.478
Africa	Central African Republic	1972	43.457
Africa	Central African Republic	1977	46.775
Africa	Central African Republic	1982	48.295
Africa	Central African Republic	1987	50.485
Africa	Central African Republic	1992	49.396
Africa	Central African Republic	1997	46.066
Africa	Central African Republic	2002	43.308
Africa	Central African Republic	2007	44.741
Africa	Chad	1952	38.092
Africa	Chad	1957	39.881
Africa	Chad	1962	41.716
Africa	Chad	1967	43.601
Africa	Chad	1972	45.569
Africa	Chad	1977	47.383
Africa	Chad	1982	49.517
Africa	Chad	1987	51.051
Africa	Chad	1992	51.724
Africa	Chad	1997	51.573
Africa	Chad	2002	50.525
Africa	Chad	2007	50.651
Europe	Channel Islands	1952	70.566
Europe	Channel Islands	1957	71.036
Europe	Channel Islands	1962	71.5
Europe	Channel Islands	1967	71.971
Europe	Channel Islands	1972	72.438
Europe	Channel Islands	1977	73.069
Europe	Channel Islands	1982	74.123
Europe	Channel Islands	1987	75.438
Europe	Channel Islands	1992	76.769
Europe	Channel Islands	1997	77.558
Europe	Channel Islands	2002	78.327
Europe	Channel Islands	2007	79.048
Americas	Chile	1952	54.745
Americas	Chile	1957	56.074
Americas	Chile	1962	57.924
Americas	Chile	1967	60.523
Americas	Chile	1972	63.441
Americas	Chile	1977	67.052
Americas	Chile	1982	70.565
Americas	Chile	1987	72.492
Americas	Chile	1992	74.126
Americas	Chile	1997	75.816
Americas	Chile	2002	77.86
Americas	Chile	2007	78.553
Asia	China	1953	44.55952
Asia	China	1954	46.4656
Asia	China	1955	48.02216
Asia	China	1956	50.44528
Asia	China	1957	50.54896
Asia	China	1958	50.1584
Asia	China	1959	38.40448
Asia	China	1960	31.63176
Asia	China	1961	34.10448
Asia	China	1962	44.50136
Asia	China	1963	51.89912
Asia	China	1964	53.32072
Asia	China	1965	55.6468
Asia	China	1966	56.8032
Asia	China	1967	58.38112
Asia	China	1968	59.4052
Asia	China	1969	60.9652
Asia	China	1970	62.6508
Asia	China	1971	63.73736
Asia	China	1972	63.11888
Asia	China	1973	62.7808
Asia	China	1974	62.4996
Asia	China	1975	62.69888
Asia	China	1976	62.43736
Asia	China	1977	63.96736
Asia	China	1978	64.24432
Asia	China	1979	65.08536
Asia	China	1980	66.12216
Asia	China	1981	66.44976
Asia	China	1982	65.525
Asia	China	1987	67.274
Asia	China	1992	68.69
Asia	China	1997	70.426
Asia	China	2002	72.028
Asia	China	2007	72.961
Americas	Colombia	1952	50.643
Americas	Colombia	1957	55.118
Americas	Colombia	1962	57.863
Americas	Colombia	1967	59.963
Americas	Colombia	1972	61.623
Americas	Colombia	1977	63.837
Americas	Colombia	1982	66.653
Americas	Colombia	1987	67.768
Americas	Colombia	1992	68.421
Americas	Colombia	1997	70.313
Americas	Colombia	2002	71.682
Americas	Colombia	2007	72.889
Africa	Comoros	1952	40.715
Africa	Comoros	1957	42.46
Africa	Comoros	1962	44.467
Africa	Comoros	1967	46.472
Africa	Comoros	1972	48.944
Africa	Comoros	1977	50.939
Africa	Comoros	1982	52.933
Africa	Comoros	1987	54.926
Africa	Comoros	1992	57.939
Africa	Comoros	1997	60.66
Africa	Comoros	2002	62.974
Africa	Comoros	2007	65.152
Africa	Congo, Dem. Rep.	1952	39.143
Africa	Congo, Dem. Rep.	1957	40.652
Africa	Congo, Dem. Rep.	1962	42.122
Africa	Congo, Dem. Rep.	1967	44.056
Africa	Congo, Dem. Rep.	1972	45.989
Africa	Congo, Dem. Rep.	1977	47.804
Africa	Congo, Dem. Rep.	1982	47.784
Africa	Congo, Dem. Rep.	1987	47.412
Africa	Congo, Dem. Rep.	1992	45.548
Africa	Congo, Dem. Rep.	1997	42.587
Africa	Congo, Dem. Rep.	2002	44.966
Africa	Congo, Dem. Rep.	2007	46.462
Africa	Congo, Rep.	1952	42.111
Africa	Congo, Rep.	1957	45.053
Africa	Congo, Rep.	1962	48.435
Africa	Congo, Rep.	1967	52.04
Africa	Congo, Rep.	1972	54.907
Africa	Congo, Rep.	1977	55.625
Africa	Congo, Rep.	1982	56.695
Africa	Congo, Rep.	1987	57.47
Africa	Congo, Rep.	1992	56.433
Africa	Congo, Rep.	1997	52.962
Africa	Congo, Rep.	2002	52.97
Africa	Congo, Rep.	2007	55.322
Americas	Costa Rica	1950	55.6
Americas	Costa Rica	1952	57.206
Americas	Costa Rica	1957	60.026
Americas	Costa Rica	1962	62.842
Americas	Costa Rica	1967	65.424
Americas	Costa Rica	1972	67.849
Americas	Costa Rica	1977	70.75
Americas	Costa Rica	1982	73.45
Americas	Costa Rica	1987	74.752
Americas	Costa Rica	1992	75.713
Americas	Costa Rica	1997	77.26
Americas	Costa Rica	2002	78.123
Americas	Costa Rica	2007	78.782
Africa	Cote d'Ivoire	1952	40.477
Africa	Cote d'Ivoire	1957	42.469
Africa	Cote d'Ivoire	1962	44.93
Africa	Cote d'Ivoire	1967	47.35
Africa	Cote d'Ivoire	1972	49.801
Africa	Cote d'Ivoire	1977	52.374
Africa	Cote d'Ivoire	1982	53.983
Africa	Cote d'Ivoire	1987	54.655
Africa	Cote d'Ivoire	1992	52.044
Africa	Cote d'Ivoire	1997	47.991
Africa	Cote d'Ivoire	2002	46.832
Africa	Cote d'Ivoire	2007	48.328
Europe	Croatia	1952	61.21
Europe	Croatia	1957	64.77
Europe	Croatia	1962	67.13
Europe	Croatia	1967	68.5
Europe	Croatia	1972	69.61
Europe	Croatia	1977	70.64
Europe	Croatia	1982	70.46
Europe	Croatia	1987	71.52
Europe	Croatia	1992	72.527
Europe	Croatia	1997	73.68
Europe	Croatia	2002	74.876
Europe	Croatia	2007	75.748
Americas	Cuba	1950	55.714
Americas	Cuba	1952	59.421
Americas	Cuba	1957	62.325
Americas	Cuba	1962	65.246
Americas	Cuba	1967	68.29
Americas	Cuba	1972	70.723
Americas	Cuba	1977	72.649
Americas	Cuba	1982	73.717
Americas	Cuba	1987	74.174
Americas	Cuba	1992	74.414
Americas	Cuba	1997	76.151
Americas	Cuba	2002	77.158
Americas	Cuba	2007	78.273
Europe	Cyprus	1952	66.99
Europe	Cyprus	1957	68.09
Europe	Cyprus	1962	69.2
Europe	Cyprus	1967	70.3
Europe	Cyprus	1972	71.41
Europe	Cyprus	1977	73.7
Europe	Cyprus	1982	75
Europe	Cyprus	1987	76.136
Europe	Cyprus	1992	76.826
Europe	Cyprus	1997	77.95
Europe	Cyprus	2002	78.957
Europe	Cyprus	2007	79.035
Europe	Czech Republic	1950	64.43
Europe	Czech Republic	1951	65.25
Europe	Czech Republic	1952	66.87
Europe	Czech Republic	1953	67.56
Europe	Czech Republic	1954	68.05
Europe	Czech Republic	1955	68.97
Europe	Czech Republic	1956	69.37
Europe	Czech Republic	1957	69.03
Europe	Czech Republic	1958	69.94
Europe	Czech Republic	1959	69.92
Europe	Czech Republic	1960	70.46
Europe	Czech Republic	1961	70.64
Europe	Czech Republic	1962	69.9
Europe	Czech Republic	1963	70.42
Europe	Czech Republic	1964	70.58
Europe	Czech Republic	1965	70.27
Europe	Czech Republic	1966	70.49
Europe	Czech Republic	1967	70.38
Europe	Czech Republic	1968	69.94
Europe	Czech Republic	1969	69.44
Europe	Czech Republic	1970	69.53
Europe	Czech Republic	1971	69.77
Europe	Czech Republic	1972	70.29
Europe	Czech Republic	1973	70.13
Europe	Czech Republic	1974	70.21
Europe	Czech Republic	1975	70.55
Europe	Czech Republic	1976	70.66
Europe	Czech Republic	1977	70.71
Europe	Czech Republic	1978	70.78
Europe	Czech Republic	1979	70.89
Europe	Czech Republic	1980	70.42
Europe	Czech Republic	1981	70.86
Europe	Czech Republic	1982	70.96
Europe	Czech Republic	1983	70.73
Europe	Czech Republic	1984	70.99
Europe	Czech Republic	1985	71.2
Europe	Czech Republic	1986	71.13
Europe	Czech Republic	1987	71.58
Europe	Czech Republic	1988	71.78
Europe	Czech Republic	1989	71.83
Europe	Czech Republic	1990	71.49
Europe	Czech Republic	1991	72.03
Europe	Czech Republic	1992	72.4
Europe	Czech Republic	1993	72.92
Europe	Czech Republic	1994	73.13
Europe	Czech Republic	1995	73.26
