spell,event,censor2,censor3,censor4,ui,reprate,logwage,tenure,disrate,slack,abolpos,explose,stateur,houshead,married,female,child,ychild,nonwhite,age,schlt12,schgt12,smsa,bluecoll,mining,constr,transp,trade,fire,services,pubadmin,year85,year87,year89,midatl,encen,wncen,southatl,escen,wscen,mountain,pacific
14,0,0,0,1,1,0.407,6.07535,20,0.102,0,1,0,6.6,1,0,0,0,0,0,43,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,1,0,0,0.448,5.97889,2,0.112,1,0,0,6.6,1,0,1,1,0,0,43,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,0.385,6.13123,1,0.096,0,1,0,6.6,1,0,0,0,0,0,27,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,1,0.52,5.22575,1,0.13,0,0,1,6.6,1,0,1,1,1,1,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.52,5.53339,2,0.13,1,0,0,6.6,1,0,1,0,0,0,34,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,1,1,0.448,5.97889,5,0.112,0,0,0,6.6,0,0,1,0,0,0,29,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,0,0,0,1,0.52,5.36129,0,0.13,1,0,0,6.6,0,0,1,1,0,0,21,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0.52,5.46806,2,0.13,0,0,1,6.6,1,0,0,0,0,0,22,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0.498,5.87493,3,0.124,1,0,1,6.6,0,1,1,1,1,1,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,1,1,0.492,5.88332,3,0.123,0,1,1,6.6,1,1,0,1,0,0,46,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,0.52,5.75574,2,0.13,1,0,1,6.6,0,1,1,1,1,0,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,1,0.345,6.24222,2,0.086,1,0,1,6.6,1,1,0,1,1,0,27,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.498,5.87493,5,0.124,0,0,1,6.6,0,1,1,1,1,0,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,1,1,0.52,5.56452,3,0.13,1,0,1,6.6,1,1,0,1,1,0,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0.52,5.06259,0,0.13,1,0,0,6.6,1,0,0,1,1,0,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1,0,0.52,5.69036,3,0.13,1,0,1,6.6,1,1,0,1,0,0,40,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0.52,5.39816,0,0.13,1,0,0,6.6,1,0,0,1,0,0,44,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,0.52,5.66296,2,0.13,0,0,1,6.6,1,1,0,1,0,0,42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0.52,5.46806,2,0.13,1,0,0,6.6,1,1,0,1,0,0,52,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,1,0.52,4.91265,3,0.13,1,0,1,6.6,0,0,0,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,1,0,0,0.52,5.53339,0,0.13,1,0,0,6.6,1,1,0,1,1,0,23,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,1,1,0.52,5.11199,0,0.13,0,1,1,6.6,1,1,0,1,1,1,25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,0.201,6.78106,2,0.05,0,1,1,6.6,1,1,0,0,0,0,50,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,0.329,6.286,0,0.082,0,1,1,6.6,1,0,0,0,0,0,28,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,0.52,5.28827,0,0.13,1,0,0,6.6,0,0,0,0,0,0,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,1,1,0.52,5.46806,1,0.13,0,1,1,6.6,1,0,1,1,0,1,27,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,0.52,5.81711,3,0.13,1,0,0,6.6,0,1,1,0,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0.52,5.53339,1,0.13,0,0,0,6.6,0,0,0,1,0,0,22,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,0,0.52,4.89784,1,0.13,1,0,0,6.6,0,0,0,1,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0.415,6.05678,3,0.104,1,0,0,6.6,1,1,0,1,1,0,23,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0.52,5.75574,1,0.13,0,0,0,6.6,0,0,0,0,0,0,26,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,1,0.52,5.51745,1,0.13,1,0,0,6.6,0,0,1,0,0,0,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,1,0,0.52,4.83628,0,0.13,0,0,0,6.6,0,0,0,0,0,1,38,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,0.52,5.28827,2,0.208,0,0,1,6.9,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,1,0,0.52,5.46806,0,0.208,0,0,1,6.9,0,0,0,0,0,0,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,1,1,0.52,5.62402,0,0.208,1,0,0,6.9,1,1,0,1,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,0.166,7.23201,5,0.067,1,0,0,6.9,1,1,0,1,1,0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,1,0.52,4.89784,6,0.208,0,0,0,6.9,0,1,1,0,0,0,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,0,0.52,5.97889,10,0.208,0,1,0,6.9,0,1,1,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,0,0,0,1,0.52,5.75574,1,0.208,1,0,1,6.9,1,1,0,0,0,0,20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,0,0,1,0.52,5.97889,7,0.208,1,0,0,6.9,1,1,0,0,0,0,47,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,1,0,0.52,5.46806,1,0.208,1,0,1,6.9,0,0,1,0,0,1,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,0,0,0,1,0.52,5.18178,5,0.208,0,0,1,6.9,0,0,0,0,0,1,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,1,0.153,7.31389,14,0.061,0,1,1,6.9,1,1,0,1,0,0,46,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0.189,7.1025,23,0.076,0,1,1,6.9,1,1,0,0,0,0,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,0.52,5.81711,13,0.208,1,0,1,6.9,1,0,0,0,0,1,32,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,1,0.52,5.75574,0,0.208,1,0,1,6.9,1,0,0,0,0,1,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,1,0.52,5.75574,0,0.208,1,0,1,6.9,0,0,1,0,0,1,47,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,1,0,0,0,1,0.52,5.97889,5,0.208,0,0,1,6.9,1,1,0,1,1,0,34,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,1,0,0,0.52,5.75574,3,0.208,1,0,1,6.9,1,1,0,0,0,0,34,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,1,0,0.52,5.28827,1,0.208,1,0,0,6.9,0,0,0,0,0,1,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,0.52,5.32301,0,0.208,1,0,0,6.9,0,1,1,0,0,0,52,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,0.52,5.75574,2,0.208,1,0,0,6.9,0,0,0,0,0,0,25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,1,0,0,0,1,0.52,5.8522,28,0.208,0,0,1,6.9,0,1,1,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,1,0.323,6.56667,5,0.129,0,0,1,6.9,1,0,0,0,0,0,49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0.52,5.66296,2,0.208,1,0,0,6.9,1,0,1,1,0,0,49,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0.52,5.70378,1,0.208,0,1,0,6.9,1,0,0,0,0,0,25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14,1,0,0,0,1,0.485,6.16121,11,0.194,1,0,0,6.9,0,0,1,0,0,0,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,1,1,0.291,6.67203,3,0.116,1,0,0,6.9,1,1,0,1,0,0,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,1,0.52,5.06259,1,0.208,0,1,0,6.9,0,0,1,1,1,0,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0.52,6.07535,3,0.208,0,0,0,6.9,1,0,0,0,0,0,37,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,1,1,0.52,5.75574,0,0.208,1,0,0,6.9,0,1,0,0,0,0,38,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,0,0,0,1,0.52,5.46806,3,0.208,0,0,1,6.9,0,1,1,0,0,0,27,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0,0,1,0.52,5.83773,1,0.208,1,0,0,6.9,1,1,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,1,0.52,5.53339,0,0.208,1,0,1,6.9,0,0,1,0,0,0,51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,0.52,5.46806,0,0.208,1,0,0,6.9,0,0,0,0,0,0,21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,1,0,0.52,5.93754,3,0.208,1,0,0,6.9,0,0,0,0,0,0,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,0,0.52,5.28827,0,0.208,1,0,0,6.9,0,0,0,0,0,0,22,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,1,0.485,6.16121,0,0.194,1,0,0,6.9,1,0,0,0,0,0,24,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,1,0,0,0,1,0.52,5.39816,13,0.208,0,0,1,6.9,1,1,0,0,0,0,33,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,1,1,0.52,5.56068,2,0.208,0,0,1,6.9,1,0,1,1,0,0,44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,0,0.52,5.46806,1,0.208,1,0,1,6.9,1,0,0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,1,0,1,0.466,6.20254,2,0.186,1,0,1,6.9,1,1,0,1,1,0,37,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,0.52,5.53339,2,0.208,1,0,1,6.9,1,0,0,0,0,0,30,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,0.52,5.31321,1,0.208,1,0,1,6.9,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,0,0,1,0.52,5.71373,3,0.208,0,0,0,6.9,0,1,1,0,0,0,45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,0,0.52,4.77912,1,0.208,1,0,1,6.9,1,1,0,1,0,0,36,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,0.52,5.39816,0,0.208,1,0,0,6.9,1,0,0,0,0,0,31,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,1,1,0.52,5.46806,5,0.208,1,0,1,6.9,0,1,1,0,0,0,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,1,0,1,0.52,5.69036,17,0.208,0,0,0,6.9,0,1,1,0,0,0,38,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,1,0.425,6.29342,5,0.17,0,1,0,6.9,1,0,0,0,0,0,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,1,0.52,5.28827,1,0.208,1,0,0,6.9,0,0,1,1,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,0,0,0,0,0.52,5.18178,1,0.208,0,1,1,6.9,0,0,1,0,0,0,25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,1,0,0,0,1,0.52,5.64897,4,0.208,1,0,1,6.9,0,0,1,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0,0,1,0.52,5.87493,3,0.208,1,0,1,6.9,0,0,0,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0,1,1,0.52,5.97889,7,0.208,1,0,1,6.9,1,1,0,1,1,0,26,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,1,0.52,5.81711,17,0.208,1,0,1,6.9,1,0,0,0,0,0,43,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0,0,1,1,0.52,5.79606,9,0.208,0,0,1,6.9,1,1,0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,1,1,0.52,5.39816,3,0.208,1,0,0,6.9,0,0,0,1,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0,0,1,0.49,5.28827,0,0.245,0,0,1,7.1,1,0,0,0,0,0,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,1,0.447,5.89715,26,0.223,1,0,1,7.1,1,1,0,0,0,0,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,1,0.415,5.97126,8,0.208,0,1,1,7.1,0,1,1,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,0,0,0.229,6.56667,12,0.114,0,1,0,7.1,1,1,0,1,0,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,1,0.343,6.16121,8,0.172,1,0,0,7.1,1,0,0,0,0,0,52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,1,1,0.468,5.8522,2,0.234,0,0,1,7.1,1,1,0,1,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,1,0,1,0.317,6.24222,1,0.158,1,0,1,7.1,1,1,0,0,0,0,55,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,1,1,0.468,5.8522,14,0.234,0,0,1,7.1,0,1,1,1,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,0,0,1,1,0.49,5.20401,6,0.245,1,0,0,7.1,1,1,0,0,0,0,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,1,0.49,5.28827,2,0.245,0,0,0,7.1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1,0,0,0,0,0.49,5.75574,0,0.245,1,0,0,7.1,0,1,1,1,1,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,1,0,1,0.49,5.75574,0,0.245,1,0,0,7.1,1,1,0,0,0,0,21,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
