"Type","Description","Case","Location","Agency","Date","CityState","Address","lon","lat"
NA,"BURGLARY/BREAKING AND ENTERING",130023357,"500 BLOCK SIERRA DR SE","Albuquerque Police","3/15/2013 15:31","Albuquerque NM","500 BLOCK SIERRA DR SE Albuquerque NM",-106.597628,35.0727959
NA,"THEFT FROM A MOTOR VEHICLE",130800702,"1100 BLOCK CENTRAL AV E","Albuquerque Police","3/14/2013 12:16","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130022909,"200 BLOCK GIRARD BL NE","Albuquerque Police","3/14/2013 10:37","Albuquerque NM","200 BLOCK GIRARD BL NE Albuquerque NM",-106.6131733,35.0829436
NA,"BURGLARY/BREAKING AND ENTERING",130022518,"100 BLOCK STANFORD DR SE","Albuquerque Police","3/13/2013 22:00","Albuquerque NM","100 BLOCK STANFORD DR SE Albuquerque NM",-106.6182792,35.0809146
NA,"BURGLARY/BREAKING AND ENTERING",130022793,"200 BLOCK GIRARD BL NE","Albuquerque Police","3/13/2013 21:37","Albuquerque NM","200 BLOCK GIRARD BL NE Albuquerque NM",-106.6131733,35.0829436
NA,"BURGLARY/BREAKING AND ENTERING",130022430,"3100 BLOCK CONSTITUTION AV NE","Albuquerque Police","3/12/2013 18:11","Albuquerque NM","3100 BLOCK CONSTITUTION AV NE Albuquerque NM",-106.610127,35.09451
NA,"AUTO THEFT",130022308,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","3/12/2013 12:59","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"BURGLARY/BREAKING AND ENTERING",130021640,"3900 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/9/2013 22:09","Albuquerque NM","3900 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.6012456,35.1019646
NA,"AUTO BURGLARY",130021525,"500 BLOCK SOLANO DR SE","Albuquerque Police","3/9/2013 14:00","Albuquerque NM","500 BLOCK SOLANO DR SE Albuquerque NM",-106.6019479,35.073459
NA,"BURGLARY/BREAKING AND ENTERING",130021356,"1600 BLOCK ALISO DR NE","Albuquerque Police","3/8/2013 20:23","Albuquerque NM","1600 BLOCK ALISO DR NE Albuquerque NM",-106.601262,35.0978574
NA,"BURGLARY/BREAKING AND ENTERING",130021344,"500 BLOCK TULANE DR SE","Albuquerque Police","3/8/2013 18:26","Albuquerque NM","500 BLOCK TULANE DR SE Albuquerque NM",-106.606701,35.073499
NA,"BURGLARY/BREAKING AND ENTERING",130021289,"1400 BLOCK ADAMS ST NE","Albuquerque Police","3/8/2013 15:32","Albuquerque NM","1400 BLOCK ADAMS ST NE Albuquerque NM",-106.5939254,35.0994946
NA,"ROBBERY",130021232,"1400 BLOCK CARLISLE BL NE","Albuquerque Police","3/8/2013 14:40","Albuquerque NM","1400 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO THEFT",130020894,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/7/2013 15:54","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO THEFT",130020763,"1400 BLOCK LAS LOMAS RD NE","Albuquerque Police","3/7/2013 9:19","Albuquerque NM","1400 BLOCK LAS LOMAS RD NE Albuquerque NM",-106.6287059,35.087314
NA,"BURGLARY/BREAKING AND ENTERING",130020684,"2900 BLOCK WILSON PL NE","Albuquerque Police","3/6/2013 22:54","Albuquerque NM","2900 BLOCK WILSON PL NE Albuquerque NM",-106.6130469,35.0959019
NA,"BURGLARY/BREAKING AND ENTERING",130020657,"4400 BLOCK AVENIDA ESTRELLITA NE","Albuquerque Police","3/6/2013 20:20","Albuquerque NM","4400 BLOCK AVENIDA ESTRELLITA NE Albuquerque NM",-106.5968083,35.0931164
NA,"BURGLARY/BREAKING AND ENTERING",130020632,"4500 BLOCK ALTURA PL NE","Albuquerque Police","3/6/2013 18:11","Albuquerque NM","4500 BLOCK ALTURA PL NE Albuquerque NM",-106.595071,35.095475
NA,"BURGLARY/BREAKING AND ENTERING",130020613,"4400 BLOCK AVENIDA MANANA NE","Albuquerque Police","3/6/2013 17:45","Albuquerque NM","4400 BLOCK AVENIDA MANANA NE Albuquerque NM",-106.5952418,35.091994
NA,"BURGLARY/BREAKING AND ENTERING",130020593,"200 BLOCK MAPLE ST SE","Albuquerque Police","3/6/2013 16:58","Albuquerque NM","200 BLOCK MAPLE ST SE Albuquerque NM",-106.6304616,35.0807903
NA,"AUTO BURGLARY",130020408,"600 BLOCK LAFAYETTE DR NE","Albuquerque Police","3/6/2013 8:42","Albuquerque NM","600 BLOCK LAFAYETTE DR NE Albuquerque NM",-106.608444,35.086273
NA,"AUTO BURGLARY",130020393,"100 BLOCK HARVARD DR SE","Albuquerque Police","3/6/2013 8:13","Albuquerque NM","100 BLOCK HARVARD DR SE Albuquerque NM",-106.6207849,35.080918
NA,"BURGLARY/BREAKING AND ENTERING",130020390,"400 BLOCK ALISO DR SE","Albuquerque Police","3/6/2013 7:32","Albuquerque NM","400 BLOCK ALISO DR SE Albuquerque NM",-106.6010756,35.0753972
NA,"AUTO BURGLARY",130020389,"300 BLOCK YALE BL SE","Albuquerque Police","3/6/2013 7:20","Albuquerque NM","300 BLOCK YALE BL SE Albuquerque NM",-106.6215694,35.0770272
NA,"AUTO THEFT",130020325,"600 BLOCK RICHMOND DR NE","Albuquerque Police","3/5/2013 18:43","Albuquerque NM","600 BLOCK RICHMOND DR NE Albuquerque NM",-106.6109256,35.0861434
NA,"AUTO THEFT",130020099,"200 BLOCK RICHMOND DR SE","Albuquerque Police","3/5/2013 10:03","Albuquerque NM","200 BLOCK RICHMOND DR SE Albuquerque NM",-106.6107748,35.0790666
NA,"AUTO BURGLARY",130020088,"900 BLOCK MCDUFFIE CI NE","Albuquerque Police","3/5/2013 9:26","Albuquerque NM","900 BLOCK MCDUFFIE CI NE Albuquerque NM",-106.60085,35.088929
NA,"AUTO BURGLARY",130020085,"1700 BLOCK RITA DR NE","Albuquerque Police","3/5/2013 9:17","Albuquerque NM","1700 BLOCK RITA DR NE Albuquerque NM",-106.6056615,35.0977732
NA,"AUTO BURGLARY",130020053,"800 BLOCK LAFAYETTE DR NE","Albuquerque Police","3/5/2013 2:30","Albuquerque NM","800 BLOCK LAFAYETTE DR NE Albuquerque NM",-106.608806,35.089618
NA,"COMMERCIAL BURGLARY",130019837,"1700 BLOCK INDIAN PLAZA DR NE","Albuquerque Police","3/4/2013 10:40","Albuquerque NM","1700 BLOCK INDIAN PLAZA DR NE Albuquerque NM",-106.606112,35.103321
NA,"BURGLARY/BREAKING AND ENTERING",130019570,"3200 BLOCK CENTRAL AV E","Albuquerque Police","3/3/2013 16:20","Albuquerque NM","3200 BLOCK CENTRAL AV E Albuquerque NM",-106.6093141,35.0802147
NA,"AUTO THEFT",130019550,"800 BLOCK LOCUST PL NE","Albuquerque Police","3/3/2013 14:38","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"BURGLARY/BREAKING AND ENTERING",130019532,"500 BLOCK CARLISLE BL NE","Albuquerque Police","3/3/2013 13:35","Albuquerque NM","500 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO THEFT",130019487,"1400 BLOCK LAS LOMAS RD NE","Albuquerque Police","3/3/2013 8:11","Albuquerque NM","1400 BLOCK LAS LOMAS RD NE Albuquerque NM",-106.6287059,35.087314
NA,"BURGLARY/BREAKING AND ENTERING",130019334,"400 BLOCK RICHMOND DR SE","Albuquerque Police","3/2/2013 20:50","Albuquerque NM","400 BLOCK RICHMOND DR SE Albuquerque NM",-106.610465,35.0753119
NA,"ROBBERY",130019267,"1100 BLOCK CENTRAL AV E","Albuquerque Police","3/2/2013 16:25","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"THEFT FROM A MOTOR VEHICLE",130800646,"200 BLOCK VASSAR DR SE","Albuquerque Police","3/2/2013 10:30","Albuquerque NM","200 BLOCK VASSAR DR SE Albuquerque NM",-106.6145099,35.0790763
NA,"BURGLARY/BREAKING AND ENTERING",130018980,"1700 BLOCK NOTRE DAME DR NE","Albuquerque Police","3/1/2013 17:17","Albuquerque NM","1700 BLOCK NOTRE DAME DR NE Albuquerque NM",-106.6082393,35.1020442
NA,"COMMERCIAL BURGLARY",130018931,"300 BLOCK GRACELAND DR SE","Albuquerque Police","3/1/2013 15:34","Albuquerque NM","300 BLOCK GRACELAND DR SE Albuquerque NM",-106.5966593,35.0769883
NA,"AUTO THEFT",130018828,"1700 BLOCK UNIVERSITY BD NE","Albuquerque Police","3/1/2013 12:42","Albuquerque NM","1700 BLOCK UNIVERSITY BD NE Albuquerque NM",-106.6238278,35.1051985
NA,"COMMERCIAL BURGLARY",130018802,"3600 BLOCK COPPER AV NE","Albuquerque Police","3/1/2013 11:05","Albuquerque NM","3600 BLOCK COPPER AV NE Albuquerque NM",-106.6040033,35.0801408
NA,"AUTO BURGLARY",130018773,"300 BLOCK CARLISLE BL SE","Albuquerque Police","3/1/2013 9:00","Albuquerque NM","300 BLOCK CARLISLE BL SE Albuquerque NM",-106.604192,35.076934
NA,"AUTO BURGLARY",130018772,"300 BLOCK CARLISLE BL SE","Albuquerque Police","3/1/2013 8:58","Albuquerque NM","300 BLOCK CARLISLE BL SE Albuquerque NM",-106.604192,35.076934
NA,"BURGLARY/BREAKING AND ENTERING",130018712,"400 BLOCK WELLESLEY DR SE","Albuquerque Police","3/1/2013 0:35","Albuquerque NM","400 BLOCK WELLESLEY DR SE Albuquerque NM",-106.607947,35.075309
NA,"AUTO THEFT",130018689,"100 BLOCK YALE BL SE","Albuquerque Police","2/28/2013 22:42","Albuquerque NM","100 BLOCK YALE BL SE Albuquerque NM",-106.6220394,35.0809234
NA,"BURGLARY/BREAKING AND ENTERING",130018569,"1600 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","2/28/2013 14:49","Albuquerque NM","1600 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.62732,35.098968
NA,"BURGLARY/BREAKING AND ENTERING",130018487,"900 BLOCK AVENIDA MANANA NE","Albuquerque Police","2/28/2013 11:15","Albuquerque NM","900 BLOCK AVENIDA MANANA NE Albuquerque NM",-106.5979017,35.0927371
NA,"BURGLARY/BREAKING AND ENTERING",130018475,"400 BLOCK AMHERST DR SE","Albuquerque Police","2/28/2013 10:37","Albuquerque NM","400 BLOCK AMHERST DR SE Albuquerque NM",-106.6057921,35.0754138
NA,"AUTO BURGLARY",130018322,"300 BLOCK YALE BL SE","Albuquerque Police","2/27/2013 17:42","Albuquerque NM","300 BLOCK YALE BL SE Albuquerque NM",-106.6215694,35.0770272
NA,"BURGLARY/BREAKING AND ENTERING",130018309,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/27/2013 17:18","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO THEFT",130018261,"1700 BLOCK CENTRAL AV E","Albuquerque Police","2/27/2013 15:20","Albuquerque NM","1700 BLOCK CENTRAL AV E Albuquerque NM",-106.627794,35.08119
NA,"BURGLARY/BREAKING AND ENTERING",130018210,"600 BLOCK WASHINGTON ST NE","Albuquerque Police","2/27/2013 12:21","Albuquerque NM","600 BLOCK WASHINGTON ST NE Albuquerque NM",-106.595243,35.0874872
NA,"AUTO BURGLARY",130018185,"2400 BLOCK GARFIELD AV SE","Albuquerque Police","2/27/2013 11:22","Albuquerque NM","2400 BLOCK GARFIELD AV SE Albuquerque NM",-106.6195775,35.0736661
NA,"AUTO THEFT",130018200,"300 BLOCK STANFORD DR SE","Albuquerque Police","2/27/2013 10:56","Albuquerque NM","300 BLOCK STANFORD DR SE Albuquerque NM",-106.6182969,35.0772842
NA,"COMMERCIAL BURGLARY",130018068,"3500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","2/26/2013 21:30","Albuquerque NM","3500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.6051282,35.1019596
NA,"BURGLARY/BREAKING AND ENTERING",130018054,"4200 BLOCK BROCKMONT AV NE","Albuquerque Police","2/26/2013 19:13","Albuquerque NM","4200 BLOCK BROCKMONT AV NE Albuquerque NM",-106.597562,35.086295
NA,"BURGLARY/BREAKING AND ENTERING",130017887,"1400 BLOCK LAS LOMAS RD NE","Albuquerque Police","2/26/2013 14:00","Albuquerque NM","1400 BLOCK LAS LOMAS RD NE Albuquerque NM",-106.6287059,35.087314
NA,"AUTO BURGLARY",130017782,"800 BLOCK LOCUST PL NE","Albuquerque Police","2/26/2013 9:03","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"AUTO BURGLARY",130800551,"400 BLOCK PRINCETON DR SE","Albuquerque Police","2/25/2013 22:53","Albuquerque NM","400 BLOCK PRINCETON DR SE Albuquerque NM",-106.6158076,35.0754538
NA,"ROBBERY",130017721,"4400 BLOCK ZUNI RD SE","Albuquerque Police","2/25/2013 21:59","Albuquerque NM","4400 BLOCK ZUNI RD SE Albuquerque NM",-106.596237,35.0729208
